"S1","S2","Y","G","Pop","preName","Name","R1","uID","STUDcbind","STUDrbind","SCHcbind"
"TIMSS","Bridge","2019","4","ACGB7","TIMSS_Bridge_2019_G4","TIMSS_Bridge_2019_G4_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"TIMSS","-","2019","4","ACGM7","TIMSS_2019_G4","TIMSS_2019_G4_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"TIMSS","eTIMSS","2019","4","ACGZ7","TIMSS_eTIMSS_2019_G4","TIMSS_eTIMSS_2019_G4_school","school","IDCNTRY;IDSCHOOL","-","-","-"
"TIMSS","Bridge","2019","4","ASAB7","TIMSS_Bridge_2019_G4","TIMSS_Bridge_2019_G4_student_achievement","student","IDCNTRY;IDSTUD","ASGB7;ASHB7","-","ACGB7"
"TIMSS","-","2019","4","ASAM7","TIMSS_2019_G4","TIMSS_2019_G4_student_achievement","student","IDCNTRY;IDSTUD","ASGM7;ASHM7","-","ACGM7"
"TIMSS","eTIMSS","2019","4","ASAZ7","TIMSS_eTIMSS_2019_G4","TIMSS_eTIMSS_2019_G4_student_achievement","student","IDCNTRY;IDSTUD","ASGZ7;ASHZ7","-","ACGZ7"
"TIMSS","Bridge","2019","4","ASGB7","TIMSS_Bridge_2019_G4","TIMSS_Bridge_2019_G4_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","-","2019","4","ASGM7","TIMSS_2019_G4","TIMSS_2019_G4_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","eTIMSS","2019","4","ASGZ7","TIMSS_eTIMSS_2019_G4","TIMSS_eTIMSS_2019_G4_student_background","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","Bridge","2019","4","ASHB7","TIMSS_Bridge_2019_G4","TIMSS_Bridge_2019_G4_student_homebg","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","-","2019","4","ASHM7","TIMSS_2019_G4","TIMSS_2019_G4_student_homebg","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","eTIMSS","2019","4","ASHZ7","TIMSS_eTIMSS_2019_G4","TIMSS_eTIMSS_2019_G4_student_homebg","student","IDCNTRY;IDSTUD","-","-","-"
"TIMSS","Bridge","2019","4","ASRB7","TIMSS_Bridge_2019_G4","TIMSS_Bridge_2019_G4_student_reliability","student","-","-","-","-"
"TIMSS","-","2019","4","ASRM7","TIMSS_2019_G4","TIMSS_2019_G4_student_reliability","student","-","-","-","-"
"TIMSS","eTIMSS","2019","4","ASRZ7","TIMSS_eTIMSS_2019_G4","TIMSS_eTIMSS_2019_G4_student_reliability","student","-","-","-","-"
